Date,Total Infections,Total Recoveries,Infected,New Infections,New Recoveries
2020-07-04,241419,226798,14621,235,498
2020-07-05,241611,226969,14642,192,171
2020-07-06,241819,227110,14709,208,141
2020-07-07,241956,227714,14242,137,604
2020-07-08,242149,228554,13595,193,840
2020-07-09,242363,228904,13459,214,350
2020-07-10,242639,229211,13428,276,307
2020-07-11,242827,229524,13303,188,313
2020-07-12,243061,229882,13179,234,358
2020-07-13,243230,230073,13157,169,191
2020-07-14,243344,230425,12919,114,352
2020-07-15,243506,231013,12493,162,588
2020-07-16,243736,231263,12473,230,250
2020-07-17,243967,231511,12456,231,248
2020-07-18,244216,231848,12368,249,337
2020-07-19,244434,231994,12440,218,146
2020-07-20,244624,232220,12404,190,226
2020-07-21,244752,232504,12248,128,284
2020-07-22,245032,232710,12322,280,206
2020-07-23,245338,232934,12404,306,224
2020-07-24,245590,233289,12301,252,355
2020-07-25,245864,233422,12442,274,133
2020-07-26,246118,233553,12565,254,131
2020-07-27,246286,233705,12581,168,152
2020-07-28,246488,233879,12609,202,174
2020-07-29,246776,234160,12616,288,281
2020-07-30,247158,234928,12230,382,768
2020-07-31,247537,235115,12422,379,187
